word,n_periods_analyzed,overall_centroid_distance,overall_avg_pairwise_distance,ci_lower,ci_upper,max_consecutive_cd,is_significant,neighbor_jaccard_distance
air,4,0.0656355,0.4507310390472412,0.04929890111088753,0.08946919441223145,0.022854269,True,0.6363636363636364
son,4,0.041935265,0.37796878814697266,0.03389674052596092,0.056191787123680115,0.048431933,True,0.33333333333333337
hands,4,0.01666081,0.46174782514572144,0.014020037837326527,0.028845634311437607,0.009217262,True,0.33333333333333337
dark,4,0.01649493,0.38162654638290405,0.012562567368149757,0.02744866907596588,0.010979176,True,0.23529411764705888
round,4,0.016407847,0.48867446184158325,0.013842122629284859,0.029524732381105423,0.019264996,False,0.6363636363636364
left,4,0.016019225,0.5728561282157898,0.01314440555870533,0.03614744544029236,0.02267778,False,0.5714285714285714
long,4,0.015745819,0.5115952491760254,0.013142654672265053,0.030341902747750282,0.018466115,False,0.5
right,4,0.0156703,0.5752130746841431,0.015144060365855694,0.031589388847351074,0.016810775,False,0.6956521739130435
head,4,0.015191317,0.4756171703338623,0.012058636173605919,0.02813442051410675,0.012930393,False,0.6363636363636364
white,4,0.014510155,0.4213799238204956,0.011280318722128868,0.025907641276717186,0.030412316,False,0.42105263157894735
too,4,0.014160633,0.5238130688667297,0.010549908503890038,0.035887300968170166,0.011913538,False,0.75
black,4,0.013975322,0.4059270918369293,0.01193368248641491,0.022992834448814392,0.01931578,False,0.33333333333333337
gave,4,0.01324141,0.4880819022655487,0.012853898108005524,0.023819129914045334,0.012718916,False,0.42105263157894735
along,4,0.013101101,0.45685699582099915,0.01007474772632122,0.02622416242957115,0.01395911,False,0.23529411764705888
great,4,0.01307863,0.4614464044570923,0.010128895752131939,0.027119748294353485,0.023350477,False,0.33333333333333337
name,4,0.012979209,0.38850176334381104,0.011145842261612415,0.022509854286909103,0.016562581,False,0.5714285714285714
called,4,0.012815058,0.47325897216796875,0.01291578821837902,0.022853534668684006,0.02242136,False,0.5
took,4,0.012152731,0.5096306800842285,0.012138811871409416,0.02368011884391308,0.0100541115,False,0.5
though,4,0.012099624,0.43529656529426575,0.010261667892336845,0.02342962846159935,0.015037179,False,0.42105263157894735
moment,4,0.011048496,0.45907315611839294,0.009261305443942547,0.024782128632068634,0.012950122,False,0.42105263157894735
don,4,0.010975599,0.520301878452301,0.010648643597960472,0.02507411129772663,0.010772049,False,0.42105263157894735
turned,4,0.010880113,0.47971510887145996,0.011361068114638329,0.02011360041797161,0.011479735,False,0.42105263157894735
father,4,0.010652542,0.38385501503944397,0.009797920472919941,0.018587801605463028,0.016861975,False,0.23529411764705888
course,4,0.010616124,0.5253384113311768,0.010285129770636559,0.025420797988772392,0.018877566,False,0.8888888888888888
far,4,0.010206759,0.5109812021255493,0.009911566972732544,0.02253434807062149,0.012305737,False,0.42105263157894735
together,4,0.010083973,0.4418836534023285,0.009702285751700401,0.019339676946401596,0.01556766,False,0.6363636363636364
put,4,0.010050535,0.4866502285003662,0.010932822711765766,0.019635053351521492,0.007893503,False,0.42105263157894735
went,4,0.009962559,0.4661869704723358,0.010740203782916069,0.018633965402841568,0.009613931,False,0.5
wife,4,0.009942651,0.3010387718677521,0.008440020494163036,0.016111809760332108,0.008531511,False,0.23529411764705888
little,4,0.0098747015,0.538642406463623,0.009893834590911865,0.02288491651415825,0.010026157,False,0.5714285714285714
side,4,0.009835541,0.5160212516784668,0.010213622823357582,0.02063795179128647,0.00953877,False,0.5
love,4,0.00983274,0.4105024039745331,0.008353302255272865,0.019600950181484222,0.0073252916,False,0.42105263157894735
found,4,0.009711742,0.4911508560180664,0.00978072453290224,0.020130937919020653,0.027912974,False,0.23529411764705888
thought,4,0.009664834,0.5006235241889954,0.009350110776722431,0.021466214209794998,0.015456438,False,0.5
old,4,0.009564757,0.42063045501708984,0.009612733498215675,0.017853718250989914,0.011526823,False,0.5714285714285714
upon,4,0.009437025,0.46024197340011597,0.010073835961520672,0.017984069883823395,0.008297265,False,0.5714285714285714
began,4,0.009232223,0.448897123336792,0.009083561599254608,0.018208252266049385,0.009331524,False,0.125
came,4,0.008518398,0.48338940739631653,0.009436962194740772,0.017634402960538864,0.012762487,False,0.42105263157894735
something,4,0.008477807,0.44045600295066833,0.008805664256215096,0.016850216314196587,0.008362353,False,0.5714285714285714
knew,4,0.0084337,0.4220564365386963,0.008051453158259392,0.017000490799546242,0.012126327,False,0.33333333333333337
looked,4,0.008306026,0.43449801206588745,0.008713392540812492,0.016292523592710495,0.010889947,False,0.42105263157894735
end,4,0.008097291,0.5369266271591187,0.009566357359290123,0.018427254632115364,0.008236587,False,0.5
words,4,0.007933259,0.373259574174881,0.007916812784969807,0.014495189301669598,0.008988559,False,0.125
face,4,0.007906914,0.4235941767692566,0.0076683638617396355,0.0158096831291914,0.00876987,False,0.42105263157894735
away,4,0.00788784,0.4772735834121704,0.009335719048976898,0.01782451942563057,0.0103845,False,0.42105263157894735
young,4,0.007855535,0.3572736084461212,0.0068571059964597225,0.015610737726092339,0.01761204,False,0.42105263157894735
hand,4,0.007827878,0.48874130845069885,0.008839830756187439,0.017198573797941208,0.021525681,False,0.42105263157894735
eyes,4,0.007419288,0.40268847346305847,0.007085504941642284,0.014781823381781578,0.011018574,False,0.33333333333333337
last,4,0.0072293878,0.5240833163261414,0.009310444816946983,0.017916135489940643,0.010583878,False,0.6363636363636364
better,4,0.007220626,0.5422983765602112,0.008690749295055866,0.018174203112721443,0.012715399,False,0.5
woman,4,0.0071302056,0.3347053825855255,0.006703728344291449,0.013422520831227303,0.0067232847,False,0.125
towards,4,0.007121563,0.3984874486923218,0.0064285797998309135,0.016546834260225296,0.017279625,False,0.5714285714285714
life,4,0.0070911646,0.4116170406341553,0.007543127052485943,0.013968994840979576,0.019986749,False,0.23529411764705888
man,4,0.007065773,0.391250878572464,0.00708965677767992,0.014532266184687614,0.007988095,False,0.33333333333333337
voice,4,0.0069488883,0.3600907623767853,0.006385639309883118,0.014787554740905762,0.0074729323,False,0.5
felt,4,0.00694561,0.4247753918170929,0.006989264395087957,0.014828808605670929,0.008580744,False,0.5
made,4,0.006927252,0.4848099946975708,0.008777722716331482,0.01624791882932186,0.009126961,False,0.42105263157894735
three,4,0.0069120526,0.3943061828613281,0.006993879564106464,0.014709015376865864,0.013760626,False,0.125
death,4,0.006902635,0.3737614154815674,0.006819191388785839,0.013899998739361763,0.017244458,False,0.5
saw,4,0.0068273544,0.4197162389755249,0.007565811276435852,0.01369270496070385,0.007487595,False,0.33333333333333337
own,4,0.006730497,0.47809067368507385,0.008041645400226116,0.014567434787750244,0.009514213,False,0.5714285714285714
heard,4,0.0066102147,0.45858386158943176,0.0075341821648180485,0.014592167921364307,0.011457205,False,0.42105263157894735
stood,4,0.006552279,0.4216267764568329,0.007678879890590906,0.013204053044319153,0.009236932,False,0.5
poor,4,0.0064054728,0.3988308012485504,0.007137988694012165,0.013718707486987114,0.01087594,False,0.23529411764705888
years,4,0.006346047,0.44630637764930725,0.007714224047958851,0.013206569477915764,0.009145021,False,0.42105263157894735
world,4,0.0062369704,0.3717428147792816,0.0059922682121396065,0.013657455332577229,0.017352939,False,0.5
mother,4,0.0061564445,0.36142322421073914,0.0065759820863604546,0.012127717956900597,0.01218766,False,0.23529411764705888
whole,4,0.00599283,0.44404202699661255,0.007053554058074951,0.01298834104090929,0.01467061,False,0.5714285714285714
house,4,0.0059922934,0.3506869077682495,0.006273210048675537,0.011749355122447014,0.0073336363,False,0.42105263157894735
mind,4,0.005688429,0.49011942744255066,0.007487808354198933,0.0137169836089015,0.006756842,False,0.23529411764705888
water,4,0.0055066347,0.3495757579803467,0.005074842367321253,0.013504201546311378,0.006050527,False,0.5714285714285714
seemed,4,0.005423486,0.3816392123699188,0.006011161021888256,0.01135803572833538,0.011846364,False,0.42105263157894735
seen,4,0.005366981,0.40865397453308105,0.006257602479308844,0.011808037757873535,0.014271617,False,0.5
room,4,0.0053340197,0.37757912278175354,0.006231671664863825,0.011348994448781013,0.008780479,False,0.42105263157894735
light,4,0.0052869916,0.38189953565597534,0.0058726160787045956,0.01264557708054781,0.0065227747,False,0.5
place,4,0.005112171,0.4833771586418152,0.0072305649518966675,0.013105079531669617,0.009599924,False,0.42105263157894735
men,4,0.0049081445,0.3711642324924469,0.005545964930206537,0.010277633555233479,0.0062681437,False,0.125
home,4,0.0047572255,0.4196693003177643,0.0061092437244951725,0.011582563631236553,0.008934855,False,0.5714285714285714
door,4,0.0042432547,0.29983577132225037,0.004701680038124323,0.008675985038280487,0.0063643456,False,0.33333333333333337
nothing,4,0.0034441948,0.42889872193336487,0.005506665911525488,0.009408491663634777,0.00808394,False,0.5
